2011-09-27 22:24:06     error src/style.sass (Line 115: Invalid CSS after "(10%) ": expected expression (e.g. 1px, bold), was "!important")
2011-09-27 22:24:06 overwrite style.css
2011-09-27 22:24:11 overwrite style.css
2011-09-27 22:26:05 overwrite style.css
2011-09-27 22:26:54 overwrite style.css
2011-09-27 22:27:11 overwrite style.css
2011-09-27 22:27:50 overwrite style.css
2011-09-27 22:28:13 overwrite style.css
2011-09-27 22:29:47 overwrite style.css
2011-09-27 22:30:37     error src/style.sass (Line 129: Invalid property: "color:" (no value).)
2011-09-27 22:30:37 overwrite style.css
2011-09-27 22:30:56 overwrite style.css
2011-09-27 22:31:16 overwrite style.css
2011-09-27 22:31:49 overwrite style.css
2011-09-27 22:31:59 overwrite style.css
2011-09-27 22:32:04 overwrite style.css
2011-09-27 22:32:10 overwrite style.css
2011-09-27 22:32:34 overwrite style.css
2011-09-27 22:34:26 overwrite style.css
2011-09-27 22:34:43 overwrite style.css
2011-09-27 22:35:04 overwrite style.css
2011-09-27 22:35:29 overwrite style.css
2011-09-27 22:35:53 overwrite style.css
2011-09-27 22:36:16 overwrite style.css
2011-09-27 22:36:29 overwrite style.css
2011-09-27 22:36:47 overwrite style.css
2011-09-27 22:37:07 overwrite style.css
2011-09-27 22:50:02 overwrite style.css
2011-10-06 15:17:41 overwrite style.css 
2011-10-06 15:18:08 overwrite style.css 
2011-10-06 20:49:42 identical style.css 
2011-10-06 20:51:06 overwrite style.css 
2011-10-06 20:51:13 identical style.css 
2011-10-06 20:51:22 overwrite style.css 
2011-10-06 20:52:03 identical style.css 
2011-10-06 20:52:19 identical style.css 
2011-10-06 20:52:41 identical style.css 
2011-10-06 20:53:48 identical style.css 
2011-10-06 20:54:00 overwrite style.css 
2011-10-06 20:54:20 overwrite style.css 
2011-10-06 20:54:28 overwrite style.css 
2011-10-06 20:55:00 overwrite style.css 
2011-10-06 20:55:15 identical style.css 
2011-10-06 20:55:55 overwrite style.css 
2011-10-06 20:55:59 overwrite style.css 
2011-10-06 20:56:11 overwrite style.css 
2011-10-06 20:56:49 overwrite style.css 
2011-10-06 20:57:07 overwrite style.css 
2011-10-06 21:02:19 overwrite style.css 
2011-10-06 21:03:38 overwrite style.css 
2011-10-06 21:04:07 overwrite style.css 
2011-10-06 21:04:39 overwrite style.css 
2011-10-06 21:05:02 overwrite style.css 
2011-10-06 21:05:17 overwrite style.css 
2011-10-06 21:06:14 overwrite style.css 
2011-10-06 21:07:05 overwrite style.css 
2011-10-06 21:07:27 overwrite style.css 
2011-10-06 21:07:51 overwrite style.css 
2011-10-06 21:08:14 overwrite style.css 
2011-10-06 21:08:25 overwrite style.css 
2011-10-06 21:08:32 overwrite style.css 
2011-10-06 21:08:45 overwrite style.css 
2011-10-06 21:08:59 overwrite style.css 
2011-10-06 21:09:22 overwrite style.css 
2011-10-06 21:09:33 overwrite style.css 
2011-10-06 21:10:40 overwrite style.css 
2011-10-06 21:11:22 overwrite style.css 
2011-10-06 21:11:40 overwrite style.css 
2011-10-08 13:27:30 overwrite style.css 
2011-10-08 13:28:09 overwrite style.css 
2011-10-08 13:29:27 overwrite style.css 
2011-10-08 13:29:40 overwrite style.css 
2011-10-08 13:29:51 overwrite style.css 
2011-10-08 13:29:59 overwrite style.css 
2011-10-08 13:31:45 overwrite style.css 
2011-10-08 13:34:31 overwrite style.css 
2011-10-08 13:35:02 overwrite style.css 
2011-10-08 13:35:11 overwrite style.css 
2011-10-08 13:35:31 overwrite style.css 
2011-10-08 13:35:57 overwrite style.css 
2011-10-08 13:36:32 overwrite style.css 
2011-10-08 13:36:41 overwrite style.css 
2011-10-08 13:37:12 overwrite style.css 
2011-10-08 13:37:19 overwrite style.css 
2011-10-08 13:38:21 overwrite style.css 
2011-10-08 13:38:44 overwrite style.css 
2011-10-08 13:38:56 overwrite style.css 
2011-10-08 13:39:16 overwrite style.css 
2011-10-08 13:39:39 overwrite style.css 
2011-10-08 13:40:13 overwrite style.css 
2011-10-08 13:40:23 overwrite style.css 
2011-10-08 13:40:38 overwrite style.css 
2011-10-08 13:40:40 overwrite style.css 
2011-10-08 13:46:45 overwrite style.css 
2011-10-08 13:49:56 overwrite style.css 
2011-10-08 13:50:16 overwrite style.css 
2011-10-08 13:50:47 overwrite style.css 
2011-10-08 13:51:35 overwrite style.css 
2011-10-08 13:52:02 overwrite style.css 
2011-10-08 13:52:29 overwrite style.css 
2011-10-08 13:52:47 overwrite style.css 
2011-10-08 13:52:58 overwrite style.css 
2011-10-08 13:53:18 overwrite style.css 
2011-10-08 13:53:59 overwrite style.css 
2011-10-08 13:54:14 overwrite style.css 
2011-10-08 13:54:32 overwrite style.css 
2011-10-08 13:54:51 overwrite style.css 
2011-10-08 13:55:14 overwrite style.css 
2011-10-08 13:55:22 overwrite style.css 
2011-10-08 13:55:35 overwrite style.css 
2011-10-08 13:55:40 overwrite style.css 
2011-10-08 13:55:49 overwrite style.css 
2011-10-08 14:00:45 overwrite style.css 
2011-10-08 14:01:52 overwrite style.css 
2011-10-08 14:02:03 overwrite style.css 
2011-10-08 14:02:26 overwrite style.css 
2011-10-08 14:02:38 overwrite style.css 
2011-10-08 14:02:47 overwrite style.css 
2011-10-08 14:03:14 overwrite style.css 
2011-10-08 14:03:28 overwrite style.css 
2011-10-08 14:03:38 overwrite style.css 
2011-10-08 14:04:59 overwrite style.css 
2011-10-08 14:06:26 overwrite style.css 
2011-10-08 14:06:49 overwrite style.css 
2011-10-08 14:07:05 overwrite style.css 
2011-10-08 14:07:07 overwrite style.css 
2011-10-08 14:07:19 overwrite style.css 
2011-10-08 14:08:58 overwrite style.css 
2011-10-08 14:09:01 overwrite style.css 
2011-10-08 14:09:15 overwrite style.css 
2011-10-08 14:09:37 overwrite style.css 
2011-10-08 14:09:40 overwrite style.css 
2011-10-08 14:10:34 overwrite style.css 
2011-10-08 14:11:27 overwrite style.css 
2011-10-08 14:11:38 overwrite style.css 
2011-10-08 14:12:07 overwrite style.css 
2011-10-08 14:12:37 overwrite style.css 
2011-10-08 14:15:11 overwrite style.css 
2011-10-08 14:17:48 overwrite style.css 
2011-10-08 14:25:53 overwrite style.css 
2011-10-08 14:28:10 overwrite style.css 
2011-10-08 14:29:10 overwrite style.css 
2011-10-08 14:29:18 overwrite style.css 
2011-10-08 14:29:33 overwrite style.css 
2011-10-08 14:29:47 overwrite style.css 
2011-10-08 14:29:54 overwrite style.css 
2011-10-08 14:30:00 overwrite style.css 
2011-10-08 14:30:41 overwrite style.css 
2011-10-08 14:31:04 overwrite style.css 
2011-10-08 14:31:20 overwrite style.css 
2011-10-08 14:31:58 overwrite style.css 
2011-10-08 14:32:20 overwrite style.css 
2011-10-08 14:32:26 overwrite style.css 
2011-10-08 14:32:43 overwrite style.css 
2011-10-08 14:33:11 overwrite style.css 
2011-10-08 14:33:20 overwrite style.css 
2011-10-08 14:33:29 overwrite style.css 
2011-10-08 14:35:23 overwrite style.css 
2011-10-08 14:35:56 overwrite style.css 
2011-10-08 14:52:35 overwrite style.css 
2011-10-08 14:52:53 overwrite style.css 
2011-10-08 14:53:05 overwrite style.css 
2011-10-08 14:53:23 overwrite style.css 
2011-10-08 14:53:54 overwrite style.css 
2011-10-08 14:54:10 overwrite style.css 
2011-10-08 14:54:29 overwrite style.css 
2011-10-08 14:54:47 overwrite style.css 
2011-10-08 14:55:03 overwrite style.css 
2011-10-08 14:55:21 overwrite style.css 
2011-10-08 14:55:32 overwrite style.css 
2011-10-08 14:55:43 overwrite style.css 
2011-10-08 14:55:49 overwrite style.css 
2011-10-08 14:56:46 overwrite style.css 
2011-10-08 14:58:01 overwrite style.css 
2011-10-08 14:58:11 overwrite style.css 
2011-10-09 13:08:46 identical kamppages.css 
2011-10-09 13:08:47 identical style.css 
2011-10-09 13:09:13 overwrite kamppages.css 
2011-10-09 13:09:14 overwrite style.css 
2011-10-09 13:10:18 overwrite kamppages.css 
2011-10-09 13:10:19 overwrite style.css 
2011-10-09 13:10:30 overwrite kamppages.css 
2011-10-09 13:10:31 overwrite style.css 
2011-10-09 13:10:38 overwrite kamppages.css 
2011-10-09 13:10:39 overwrite style.css 
2011-10-09 13:11:04 overwrite kamppages.css 
2011-10-09 13:11:05 overwrite style.css 
2011-10-09 13:11:23 overwrite kamppages.css 
2011-10-09 13:11:25 overwrite style.css 
2011-10-09 13:11:39 overwrite kamppages.css 
2011-10-09 13:11:40 overwrite style.css 
2011-10-09 13:11:47 overwrite kamppages.css 
2011-10-09 13:11:48 overwrite style.css 
2011-10-09 13:11:54 overwrite kamppages.css 
2011-10-09 13:11:56 overwrite style.css 
2011-10-09 13:12:08 overwrite kamppages.css 
2011-10-09 13:12:09 overwrite style.css 
2011-10-09 13:12:32 overwrite kamppages.css 
2011-10-09 13:12:33 overwrite style.css 
2011-10-09 13:12:47 identical kamppages.css 
2011-10-09 13:12:48 identical style.css 
2011-10-09 13:14:23 identical kamppages.css 
2011-10-09 13:14:24 identical style.css 
2011-10-09 13:14:48 overwrite kamppages.css 
2011-10-09 13:14:49 overwrite style.css 
2011-10-09 13:14:56     error src/kamppages.sass (Line 25: Invalid property: "font-size:" (no value).)
